Date ,Transmitted From RTU to FMS,(FMS)Transmitted to backup server,Total Report Requested Count,Reports Generated of same day ,"Reports generated for previous day, F= (G-E)",Total Report Issued Count,CLOT Reports Generated of previous day ,CLOT reports generated on same day,"Total Report Issued Count, J= (H+I)"
12-07-2023,137157,134879,2288,205,2022,2227,10,19,29
13-07-2023,132740,131027,3488,659,2884,3543,68,13,81
14-07-2023,129067,127400,3815,1266,2526,3792,106,27,133
15-07-2023,13139,129932,2919,1457,1457,2914,82,32,114
16-07-2023,88220,87569,2084,1022,1075,2097,78,36,114
17-07-2023,131711,130248,2099,1322,768,2090,63,31,94
18-07-2023,104439,103282,2954,1534,1381,2915,70,26,96
19-07-2023,126986,125363,1625,935,729,1664,56,25,81
20-07-2023,113832,112863,3392,2,2952,2954,57,2,59
21-07-2023,119625,118274,2941,25,3016,3041,14,12,26
22-07-2023,108233,107213,4403,0,1926,1926,63,0,63
23-07-2023,80177,79335,3215,450,4891,5341,28,4,32
24-07-2023,120782,119222,3512,715,3939,4654,4,1,5
25-07-2023,125828,124672,1175,496,671,1167,5,1,6
26-07-2023,107182,106237,2308,691,1621,2312,6,2,8
27-07-2023,131367,129947,4242,250,3924,4174,0,21,21
28-07-2023,121703,120509,2017,130,1947,2077,22,1,23
29-07-2023,98554,97454,2011,166,1835,2001,17,3,20
30-07-2023,60785,60273,1736,0,1733,1733,12,0,12
31-07-2023,123767,122418,1716,246,1478,1724,9,3,12
01-08-2023,125489,122941,1988,7,1981,1988,15,0,15
02-08-2023,100447,99527,1056,59,990,1049,0,0,0
03-08-2023,101374,99735,1266,45,1227,1272,0,0,0
04-08-2023,123262,122206,1418,195,1224,1419,3,0,3
05-08-2023,109006,110289,1481,0,1479,1479,3,0,3
06-08-2023,56042,54887,1197,1,1193,1194,7,0,7
07-08-2023,116199,115204,2218,17,2198,2215,9,0,9
08-08-2023,119409,127975,1046,1,1008,1009,4,0,4
09-08-2023,94284,93053,1270,78,1225,1303,12,0,12
10-08-2023,73534,78462,1954,187,1773,1960,10,0,10
11-08-2023,106344,120197,2337,116,2195,2311,22,0,22
12-08-2023,99315,98453,991,151,833,984,1,0,1
13-08-2023,58649,58097,885,7,883,890,5,0,5
14-08-2023,114927,128545,1183,97,1084,1181,3,0,3
15-08-2023,54285,53753,1445,0,1444,1444,7,0,7
16-08-2023,125796,134738,1190,15,1175,1190,5,1,6
17-08-2023,133018,131782,1972,0,1969,1969,2,0,2
18-08-2023,103100,101828,2431,0,2431,2431,0,0,0
19-08-2023,100815,99529,2125,0,2120,2120,11,0,11
20-08-2023,52455,52133,2821,85,2733,2818,11,0,11
21-08-2023,106893,139558,4421,444,2943,3387,43,3,46
22-08-2023,131740,130285,2904,921,2614,3535,36,9,45
23-08-2023,126742,125563,3159,72,2614,2686,41,2,43
24-08-2023,138189,136937,2412,364,2628,2992,26,1,27
25-08-2023,145924,145081,2889,2,2934,2936,23,0,23
26-08-2023,94200,93324,2280,291,2174,2465,33,3,36
27-08-2023,64148,63755,3564,160,2926,3086,57,6,63
28-08-2023,109415,107519,1507,630,1375,2005,51,21,72
29-08-2023,106208,103704,2003,568,1428,1996,61,18,79
30-08-2023,85605,84832,6076,0,3182,3182,18,0,18
31-08-2023,94050,92579,4529,46,6156,6202,0,0,0
01-09-2023,110344,108706,2360,552,2632,3184,0,0,0
02-09-2023,98230,97082,2370,693,1553,2246,19,0,19
03-09-2023,55802,54653,1746,393,1710,2103,48,19,67
04-09-2023,90374,89467,2697,934,1747,2681,39,20,59
05-09-2023,108687,107789,5378,1086,3098,4184,58,28,86
06-09-2023,136454,135005,2748,1360,2377,3737,66,16,82
07-09-2023,132217,130761,3263,1047,1755,2802,88,22,110
08-09-2023,143982,142362,2972,1476,2023,3499,79,24,103
09-09-2023,127750,126889,1269,110,1219,1329,18,0,18
10-09-2023,76185,75574,3544,368,2714,3082,65,12,77
